step,stockout_skus_step,total_on_hand
90,0,2095
91,0,2087
92,0,2075
93,0,2068
94,0,2054
95,0,2039
96,1,2019
97,0,5761
98,0,9611
99,0,13464
100,0,17427
101,0,21480
102,0,25755
103,0,30134
104,0,30997
105,0,31862
106,0,32732
107,0,33497
108,0,34253
109,0,34794
110,0,35427
111,0,35818
112,0,36208
113,0,36599
114,0,36979
115,0,37375
116,0,37758
117,0,37954
118,0,38352
119,0,38646
120,0,38949
121,0,39453
122,0,39833
123,0,40205
124,1,40583
125,1,40770
126,0,42282
127,0,43902
128,0,45291
129,0,46790
130,0,48383
131,0,50084
132,0,51892
133,0,52380
134,0,52773
135,0,53160
136,0,53431
137,0,53716
138,0,53890
139,0,53974
140,0,54053
141,0,54141
142,0,54229
143,0,54300
144,0,54276
145,0,54257
146,0,54335
147,0,54618
148,0,54909
149,0,55184
150,0,55452
151,0,55728
152,0,56106
153,0,56389
154,0,56472
155,0,56556
156,0,57152
157,0,57742
158,0,58340
159,0,58849
160,0,59348
161,0,60033
162,0,60727
163,0,61004
164,0,61391
165,0,61765
166,0,62136
167,0,62501
168,0,62686
169,0,62872
170,0,63154
171,0,63332
172,0,63516
173,0,63692
174,0,63858
175,0,64028
176,0,64211
177,0,64194
178,0,64169
179,0,64144
180,0,64116
181,0,64095
182,0,64162
183,1,64233
184,1,64315
185,1,64375
186,1,64776
187,0,65289
188,0,65807
189,0,66334
190,0,66975
191,0,67615
192,0,68242
193,0,68612
194,0,68892
195,1,69280
196,1,69663
197,1,69957
198,1,70243
199,1,70718
200,1,71179
201,1,71660
202,1,72127
203,1,72502
204,1,72886
205,2,73259
206,2,73431
207,2,73499
208,2,73572
209,2,73546
210,2,73513
211,2,73497
212,2,73482
213,2,73453
214,2,73416
215,2,73384
216,0,74792
217,0,76202
218,0,77611
219,0,79131
220,0,80647
221,0,82166
222,0,83683
223,0,83754
224,0,83836
225,0,84115
226,0,84282
227,0,84450
228,0,84625
229,0,84787
230,0,84954
231,0,85125
232,0,85106
233,0,85179
234,0,85246
235,0,85411
236,0,85583
237,0,85866
238,0,86135
239,0,86416
240,0,86599
241,0,86773
242,0,86815
243,1,86881
244,1,86850
245,1,86931
246,0,88111
247,0,89300
248,0,90466
249,0,91644
250,0,92923
251,0,94202
252,0,95390
253,0,95568
254,0,95743
255,0,96011
256,0,96274
257,0,96434
258,0,96601
259,0,96783
260,1,96862
261,1,96934
262,2,96899
263,2,96961
264,2,97032
265,2,97093
266,2,97162
267,2,97242
268,2,97314
269,2,97373
270,3,97346
271,3,97321
272,4,97301
273,4,97382
274,4,97455
275,4,97526
276,0,98803
277,0,100078
278,0,101368
279,0,102657
280,0,103855
281,0,105046
282,0,106329
283,0,106387
284,0,106450
285,0,106500
286,0,106540
287,0,106601
288,0,106682
289,0,106626
290,1,106594
291,1,106528
292,0,106682
293,0,106842
294,0,107092
295,0,107355
296,0,107614
297,0,107964
298,0,108303
299,0,108463
300,0,108604
301,0,108659
302,0,108706
303,0,108967
304,0,109125
305,0,109286
306,0,109699
307,0,110091
308,0,110497
309,0,111008
310,0,111318
311,0,111611
312,1,111911
313,1,111949
314,1,112171
315,1,112185
316,1,112246
317,1,112354
318,2,112458
319,3,112570
320,3,112694
321,3,112751
322,3,112894
323,3,113060
324,3,113202
325,3,113433
326,3,113686
327,4,114022
328,5,114268
329,5,114422
330,5,114586
