step,stockout_skus_step,total_on_hand
90,0,2095
91,0,2087
92,0,2075
93,0,2068
94,0,2054
95,0,2039
96,1,2019
97,0,2374
98,0,2746
99,0,3129
100,0,3525
101,0,3929
102,0,4377
103,0,4835
104,0,4920
105,0,5001
106,0,5093
107,0,5181
108,0,5276
109,0,5347
110,0,5434
111,0,5493
112,0,5546
113,0,5601
114,0,5646
115,0,5675
116,0,5691
117,0,5697
118,0,5719
119,0,5730
120,0,5757
121,0,5799
122,0,5822
123,0,5938
124,0,6067
125,0,6191
126,0,6316
127,0,6449
128,0,6553
129,0,6684
130,0,6716
131,0,6762
132,0,6823
133,0,6875
134,0,6932
135,0,6985
136,0,7010
137,0,7040
138,0,7043
139,0,7048
140,0,7055
141,0,7064
142,0,7073
143,0,7058
144,0,7041
145,0,7029
146,0,7022
147,0,7027
148,0,7040
149,0,7044
150,0,7050
151,0,7065
152,0,7090
153,0,7113
154,0,7123
155,0,7134
156,0,7137
157,0,7128
158,0,7127
159,0,7129
160,0,7121
161,0,7113
162,0,7115
163,0,7115
164,1,7141
165,1,7164
166,1,7181
167,1,7189
168,1,7198
169,0,7217
170,0,7242
171,0,7251
172,0,7266
173,0,7273
174,0,7272
175,0,7297
176,0,7330
177,0,7337
178,0,7340
179,0,7343
180,0,7343
181,0,7353
182,0,7327
183,1,7305
184,1,7314
185,1,7308
186,1,7287
187,0,7301
188,0,7322
189,0,7352
190,0,7404
191,0,7465
192,1,7516
193,1,7594
194,0,7671
195,1,7774
196,1,7876
197,1,7983
198,1,8051
199,1,8118
200,0,8176
201,0,8249
202,0,8294
203,0,8362
204,0,8446
205,0,8521
206,0,8579
207,0,8587
208,0,8602
209,0,8611
210,0,8590
211,0,8579
212,0,8579
213,0,8574
214,0,8564
215,0,8559
216,0,8560
217,0,8565
218,0,8570
219,0,8594
220,0,8603
221,0,8616
222,0,8629
223,0,8639
224,0,8673
225,0,8732
226,0,8763
227,0,8819
228,0,8872
229,0,8913
230,0,8961
231,0,8996
232,0,9015
233,0,9070
234,0,9104
235,0,9127
236,0,9157
237,0,9205
238,0,9242
239,0,9291
240,0,9295
241,0,9315
242,0,9299
243,0,9321
244,0,9339
245,0,9376
246,0,9403
247,1,9441
248,1,9419
249,0,9451
250,0,9481
251,0,9505
252,0,9532
253,0,9614
254,0,9695
255,0,9799
256,0,9873
257,0,9946
258,0,10029
259,0,10130
260,0,10168
261,0,10239
262,0,10273
263,0,10289
264,0,10317
265,0,10336
266,0,10363
267,0,10407
268,0,10422
269,0,10457
270,1,10448
271,1,10441
272,1,10450
273,1,10456
274,2,10450
275,2,10416
276,3,10297
277,3,10193
278,2,10163
279,2,10133
280,2,10153
281,1,10207
282,2,10314
283,1,10435
284,1,10598
285,2,10730
286,2,11062
287,3,11461
288,3,11864
289,2,12245
290,2,12774
291,2,13191
292,0,13676
293,0,14085
294,0,14435
295,0,14795
296,0,15025
297,0,15219
298,0,15516
299,0,15895
300,0,16216
301,0,16510
302,0,16738
303,0,16993
304,0,17171
305,0,17292
306,0,17383
307,0,17496
308,0,17622
309,0,17754
310,0,17866
311,0,17966
312,0,18053
313,0,18099
314,0,18096
315,0,17915
316,0,17865
317,0,17896
318,0,17894
319,1,17893
320,1,17992
321,0,18135
322,0,18435
323,1,18809
324,1,19153
325,1,19536
326,0,19970
327,0,20337
328,0,20704
329,0,20794
330,0,20872
