step,stockout_skus_step,total_on_hand
90,0,2125
91,0,2117
92,0,2105
93,0,2098
94,0,2084
95,0,2069
96,1,2049
97,0,2430
98,0,2815
99,0,3231
100,0,3668
101,0,4113
102,0,4592
103,0,5094
104,0,5177
105,0,5275
106,0,5356
107,0,5422
108,0,5506
109,0,5573
110,0,5617
111,0,5662
112,0,5709
113,0,5757
114,0,5796
115,0,5786
116,0,5770
117,0,5759
118,0,5778
119,0,5794
120,0,5819
121,0,5852
122,0,5892
123,0,6027
124,0,6177
125,0,6302
126,0,6422
127,0,6552
128,0,6660
129,0,6778
130,0,6786
131,0,6808
132,0,6844
133,0,6879
134,0,6920
135,0,6963
136,0,6971
137,0,6994
138,0,6997
139,0,7002
140,0,7002
141,0,7018
142,0,7027
143,0,7019
144,0,7016
145,0,7025
146,0,7032
147,0,7052
148,0,7072
149,0,7079
150,0,7080
151,0,7095
152,0,7095
153,0,7101
154,0,7107
155,0,7114
156,0,7115
157,0,7143
158,0,7162
159,0,7196
160,0,7220
161,0,7238
162,0,7266
163,0,7292
164,1,7310
165,1,7324
166,1,7332
167,1,7331
168,1,7337
169,0,7354
170,0,7379
171,0,7402
172,0,7431
173,0,7473
174,0,7517
175,0,7567
176,0,7611
177,0,7646
178,0,7677
179,0,7708
180,0,7703
181,1,7698
182,1,7674
183,1,7653
184,1,7663
185,1,7651
186,1,7631
187,0,7642
188,0,7660
189,0,7688
190,0,7723
191,0,7756
192,1,7778
193,1,7806
194,0,7834
195,1,7877
196,1,7918
197,1,7980
198,1,8021
199,1,8062
200,0,8111
201,0,8175
202,0,8214
203,0,8282
204,0,8351
205,0,8404
206,0,8441
207,0,8439
208,0,8445
209,0,8452
210,0,8449
211,0,8460
212,0,8475
213,0,8484
214,0,8473
215,0,8467
216,0,8467
217,0,8454
218,0,8441
219,0,8440
220,0,8426
221,0,8405
222,0,8382
223,0,8353
224,0,8335
225,0,8327
226,0,8307
227,0,8318
228,0,8345
229,0,8360
230,0,8389
231,0,8423
232,0,8454
233,0,8513
234,0,8540
235,1,8554
236,1,8575
237,1,8599
238,0,8619
239,0,8651
240,0,8667
241,0,8694
242,0,8699
243,0,8728
244,0,8770
245,0,8817
246,0,8847
247,0,8865
248,0,8836
249,0,8836
250,0,8830
251,0,8823
252,0,8826
253,0,8877
254,0,8933
255,0,9017
256,0,9104
257,0,9205
258,0,9306
259,0,9432
260,0,9524
261,0,9635
262,0,9711
263,0,9753
264,0,9790
265,0,9819
266,0,9847
267,0,9873
268,0,9870
269,0,9906
270,0,9961
271,0,10033
272,0,10117
273,0,10207
274,0,10303
275,0,10407
276,0,10437
277,0,10475
278,0,10544
279,0,10603
280,0,10674
281,0,10726
282,0,10735
283,0,10744
284,0,10754
285,0,10723
286,0,10712
287,0,10728
288,1,10759
289,0,10771
290,0,10792
291,0,10786
292,0,10825
293,0,10866
294,0,10886
295,0,10929
296,0,10961
297,0,10978
298,0,10995
299,0,10996
300,0,10974
301,0,10970
302,0,10954
303,0,10957
304,0,10971
305,0,10989
306,0,11004
307,0,10989
308,0,10976
309,0,10987
310,0,10997
311,0,10987
312,0,10984
313,0,10969
314,0,10950
315,0,10724
316,0,10618
317,0,10571
318,0,10509
319,1,10459
320,1,10422
321,0,10431
322,0,10485
323,0,10666
324,0,10857
325,0,11074
326,0,11347
327,1,11615
328,1,11872
329,1,12077
330,0,12200
331,0,12281
332,0,12325
333,0,12337
334,0,12327
335,0,12352
336,0,12379
337,0,12413
338,0,12440
339,0,12439
340,0,12445
341,0,12496
342,0,12539
343,0,12566
