step,stockout_skus_step,total_on_hand
90,0,2095
91,0,2087
92,0,2075
93,0,2068
94,0,2054
95,0,2039
96,1,2019
97,0,2374
98,0,2746
99,0,3129
100,0,3525
101,0,3929
102,0,4377
103,0,4835
104,0,4920
105,0,5001
106,0,5093
107,0,5181
108,0,5276
109,0,5347
110,0,5434
111,0,5493
112,0,5546
113,0,5601
114,0,5646
115,0,5675
116,0,5691
117,0,5697
118,0,5719
119,0,5730
120,0,5757
121,0,5799
122,0,5822
123,0,5938
124,0,6067
125,0,6191
126,0,6316
127,0,6449
128,0,6553
129,0,6684
130,0,6716
131,0,6762
132,0,6823
133,0,6875
134,0,6932
135,0,6985
136,0,7010
137,0,7040
138,0,7043
139,0,7048
140,0,7055
141,0,7064
142,0,7073
143,0,7058
144,0,7041
145,0,7029
146,0,7022
147,0,7027
148,0,7040
149,0,7044
150,0,7050
151,0,7065
152,0,7090
153,0,7113
154,0,7123
155,0,7134
156,0,7137
157,0,7128
158,0,7127
159,0,7129
160,0,7121
161,0,7113
162,0,7115
163,0,7115
164,1,7141
165,1,7164
166,1,7181
167,1,7189
168,1,7198
169,0,7217
170,0,7242
171,0,7251
172,0,7266
173,0,7273
174,0,7272
175,0,7297
176,0,7330
177,0,7337
178,0,7340
179,0,7343
180,0,7343
181,0,7353
182,0,7327
183,1,7305
184,1,7314
185,1,7308
186,1,7287
187,0,7301
188,0,7322
189,0,7352
190,0,7404
191,0,7465
192,1,7516
193,1,7594
194,0,7671
195,1,7774
196,1,7876
197,1,7983
198,1,8051
199,1,8118
200,0,8176
201,0,8249
202,0,8294
203,0,8362
204,0,8446
205,0,8521
206,0,8579
207,0,8587
208,0,8602
209,0,8611
210,0,8590
211,0,8579
212,0,8579
213,0,8574
214,0,8564
215,0,8559
216,0,8560
217,0,8565
218,0,8570
219,0,8594
220,0,8603
221,0,8616
222,0,8629
223,0,8639
224,0,8673
225,0,8732
226,0,8763
227,0,8819
228,0,8872
229,0,8913
230,0,8961
231,0,8996
232,0,9015
233,0,9070
234,0,9104
235,0,9127
236,0,9157
237,0,9205
238,0,9242
239,0,9291
240,0,9295
241,0,9315
242,0,9299
243,0,9321
244,0,9339
245,0,9376
246,0,9403
247,1,9441
248,1,9419
249,0,9451
250,0,9481
251,0,9505
252,0,9532
253,0,9614
254,0,9695
255,0,9799
256,0,9873
257,0,9946
258,0,10029
259,0,10130
260,0,10168
261,0,10239
262,0,10273
263,0,10289
264,0,10317
265,0,10336
266,0,10363
267,0,10407
268,0,10422
269,0,10457
270,0,10502
271,0,10545
272,0,10598
273,0,10656
274,0,10706
275,0,10730
276,0,10698
277,0,10669
278,0,10668
279,0,10657
280,0,10644
281,0,10630
282,0,10617
283,0,10608
284,0,10614
285,0,10587
286,0,10565
287,0,10576
288,0,10606
289,0,10588
290,1,10603
291,1,10576
292,0,10600
293,0,10655
294,0,10692
295,0,10744
296,0,10805
297,0,10862
298,0,10935
299,0,10993
300,0,10980
301,0,10982
302,0,10993
303,0,11020
304,0,11043
305,0,11060
306,0,11067
307,0,11056
308,0,11067
309,0,11088
310,0,11134
311,0,11183
312,0,11244
313,0,11290
314,0,11338
315,0,11172
316,0,11143
317,0,11141
318,0,11116
319,1,11088
320,1,11083
321,0,11100
322,0,11127
323,0,11292
324,1,11451
325,1,11678
326,1,11941
327,1,12227
328,1,12519
329,0,12765
330,0,12918
