step,stockout_skus_step,total_on_hand
90,0,2087
91,0,2079
92,0,2067
93,0,2060
94,0,2046
95,0,2031
96,1,2010
97,0,6212
98,0,10411
99,0,14613
100,0,18816
101,0,23113
102,0,27526
103,0,32139
104,0,32661
105,0,33186
106,0,33716
107,0,34250
108,0,34876
109,0,35393
110,0,35706
111,0,35892
112,0,36087
113,0,36283
114,0,36568
115,0,36650
116,0,36719
117,0,36801
118,0,36985
119,0,37165
120,0,37454
121,0,37844
122,0,38324
123,0,38796
124,2,39274
125,2,39662
126,0,41281
127,0,42808
128,0,44104
129,0,45403
130,0,46896
131,0,48497
132,0,50105
133,0,50493
134,0,50986
135,0,51473
136,0,51844
137,0,52129
138,0,52303
139,0,52487
140,0,52666
141,0,52854
142,0,53042
143,0,53213
144,0,53289
145,0,53470
146,0,53748
147,0,54131
148,0,54522
149,0,54897
150,0,55265
151,0,55741
152,0,56219
153,0,56602
154,1,56885
155,1,57069
156,0,57661
157,0,58347
158,0,58941
159,0,59550
160,0,60349
161,0,61134
162,0,61928
163,0,62305
164,0,62792
165,0,63266
166,0,63637
167,0,63802
168,0,63987
169,0,64173
170,0,64455
171,0,64533
172,0,64717
173,0,64893
174,0,65159
175,0,65429
176,0,65712
177,0,65895
178,0,66070
179,0,66145
180,0,66217
181,1,66196
182,1,66263
183,1,66335
184,1,66417
185,1,66477
186,1,66778
187,0,67191
188,0,67609
189,1,67936
190,1,68277
191,1,68617
192,1,69044
193,0,69414
194,1,69694
195,1,70183
196,1,70666
197,1,71160
198,1,71646
199,1,72121
200,1,72482
201,1,72863
202,1,73030
203,1,73205
204,1,73489
205,1,73761
206,1,73932
207,2,73998
208,2,74071
209,2,74145
210,2,74212
211,2,74196
212,2,74181
213,2,74152
214,2,74115
215,2,74083
216,0,75591
217,0,77101
218,0,78610
219,0,80130
220,0,81746
221,0,83365
222,0,84982
223,0,85053
224,0,85135
225,0,85214
226,0,85281
227,0,85349
228,0,85424
229,0,85486
230,0,85653
231,0,85924
232,0,86205
233,0,86578
234,1,86845
235,1,87212
236,1,87584
237,1,87867
238,1,88036
239,1,88217
240,1,88300
241,1,88374
242,2,88316
243,3,88282
244,3,88251
245,3,88232
246,0,89212
247,0,90201
248,0,91167
249,0,92145
250,0,93124
251,0,94103
252,0,95091
253,0,95169
254,0,95244
255,0,95312
256,0,95375
257,0,95435
258,0,95502
259,0,95684
260,1,95764
261,1,95836
262,2,96002
263,2,96164
264,3,96436
265,3,96697
266,3,96866
267,3,97046
268,4,97220
269,4,97280
270,4,97354
271,4,97329
272,4,97310
273,4,97291
274,5,97264
275,5,97335
276,0,98512
277,0,99687
278,0,100877
279,0,102066
280,0,103273
281,0,104475
282,0,105671
283,0,105738
284,0,106112
285,0,106473
286,0,106929
287,0,107401
288,0,107887
289,0,108247
290,1,108622
291,1,108672
292,0,108939
293,0,109110
294,0,109272
295,0,109445
296,0,109614
297,0,109775
298,0,109931
299,0,109901
300,0,109859
301,0,109827
302,0,109787
303,0,109758
304,0,109727
305,0,109698
306,0,109766
307,0,109814
308,0,109873
309,0,110037
310,0,110206
311,0,110358
312,0,110516
313,0,110554
314,0,110775
315,0,110787
316,1,110947
317,1,111155
318,3,111458
