step,stockout_skus_step,total_on_hand
90,0,2125
91,0,2117
92,0,2105
93,0,2098
94,0,2084
95,0,2069
96,1,2049
97,0,2430
98,0,2815
99,0,3231
100,0,3668
101,0,4113
102,0,4592
103,0,5094
104,0,5177
105,0,5275
106,0,5356
107,0,5422
108,0,5506
109,0,5573
110,0,5617
111,0,5662
112,0,5709
113,0,5757
114,0,5796
115,0,5786
116,0,5770
117,0,5759
118,0,5778
119,0,5794
120,0,5819
121,0,5852
122,0,5892
123,0,6027
124,0,6177
125,0,6302
126,0,6422
127,0,6552
128,0,6660
129,0,6778
130,0,6786
131,0,6808
132,0,6844
133,0,6879
134,0,6920
135,0,6963
136,0,6971
137,0,6994
138,0,6997
139,0,7002
140,0,7002
141,0,7018
142,0,7027
143,0,7019
144,0,7016
145,0,7025
146,0,7032
147,0,7052
148,0,7072
149,0,7079
150,0,7080
151,0,7095
152,0,7095
153,0,7101
154,0,7107
155,0,7114
156,0,7115
157,0,7143
158,0,7162
159,0,7196
160,0,7220
161,0,7238
162,0,7266
163,0,7292
164,1,7310
165,1,7324
166,1,7332
167,1,7331
168,1,7337
169,0,7354
170,0,7379
171,0,7402
172,0,7431
173,0,7473
174,0,7517
175,0,7567
176,0,7611
177,0,7646
178,0,7677
179,0,7708
180,0,7703
181,1,7698
182,1,7674
183,1,7653
184,1,7663
185,1,7651
186,1,7631
187,0,7642
188,0,7660
189,0,7688
190,0,7723
191,0,7756
192,1,7778
193,1,7806
194,0,7834
195,1,7877
196,1,7918
197,1,7980
198,1,8021
199,1,8062
200,0,8111
201,0,8175
202,0,8214
203,0,8282
204,0,8351
205,0,8404
206,0,8441
207,0,8439
208,0,8445
209,0,8452
210,0,8449
211,0,8460
212,0,8475
213,0,8484
214,0,8473
215,0,8467
216,0,8467
217,0,8454
218,0,8441
219,0,8440
220,0,8426
221,0,8405
222,0,8382
223,0,8353
224,0,8335
225,0,8327
226,0,8307
227,0,8318
228,0,8345
229,0,8360
230,0,8389
231,0,8423
232,0,8454
233,0,8513
234,0,8540
235,1,8554
236,1,8575
237,1,8599
238,0,8619
239,0,8651
240,0,8667
241,0,8694
242,0,8699
243,0,8728
244,0,8770
245,0,8817
246,0,8847
247,0,8865
248,0,8836
249,0,8836
250,0,8830
251,0,8823
252,0,8826
253,0,8877
254,0,8933
255,0,9017
256,0,9104
257,0,9205
258,0,9306
259,0,9432
260,0,9524
261,0,9635
262,0,9711
263,0,9753
264,0,9790
265,0,9819
266,0,9847
267,0,9873
268,0,9870
269,0,9906
270,0,9895
271,0,9907
272,1,9941
273,1,9993
274,2,10034
275,3,10068
276,3,10006
277,4,9967
278,2,10006
279,4,10062
280,5,10172
281,4,10312
282,4,10469
283,4,10655
284,5,10826
285,3,11018
286,3,11367
287,3,11771
288,2,12176
289,4,12426
290,3,12839
291,4,13207
292,2,13537
293,1,13773
294,1,13948
295,1,14135
296,1,14491
297,0,14997
298,0,15513
299,0,16101
300,3,16403
301,2,16742
302,3,17060
303,4,17354
304,4,17477
305,3,17626
306,5,17749
307,4,17820
308,5,17942
309,4,18361
310,3,18790
311,1,19160
312,1,19512
313,4,19970
314,5,20413
315,9,20049
316,11,20022
317,11,20090
318,8,20331
319,8,20748
320,6,21175
321,5,21708
322,1,22762
323,2,25006
324,3,27121
325,3,29253
326,4,31301
327,5,33368
328,5,35805
329,4,38130
330,4,39255
331,4,40398
332,2,42031
333,2,43549
334,2,45126
335,2,46735
336,1,47918
337,1,49391
338,1,50932
339,1,51629
340,1,52462
341,0,52979
342,0,53409
343,0,53871
